playername,points
Julio Jones ATL ,23.93
A.J. Green CIN ,19.22
T.Y. Hilton IND ,19.05
Amari Cooper OAK ,17.53
Brandon Marshall NYJ ,17.16
Ty Montgomery GB ,17.45
Larry Fitzgerald ARI ,17.73
DeAndre Hopkins HOU ,17.02
Jordy Nelson GB ,15.63
Emmanuel Sanders DEN ,16.48
Doug Baldwin SEA ,16.26
Terrelle Pryor CLE ,14.87
Dez Bryant DAL ,14.94
Michael Crabtree OAK ,14.89
Kelvin Benjamin CAR ,14.94
Julian Edelman NE ,15.87
Allen Robinson JAC ,13.9
Alshon Jeffery CHI ,14.04
Jeremy Maclin KC ,14.05
Demaryius Thomas DEN ,14.26
Willie Snead NO ,13.55
Marvin Jones DET ,13.11
Quincy Enunwa NYJ ,12.66
Brandin Cooks NO ,13.15
Golden Tate DET ,13.17
Michael Thomas NO ,12.74
Jordan Matthews PHI ,12.51
Stefon Diggs MIN ,12.52
Tyrell Williams SD ,11.58
Will Fuller HOU ,11.37
Davante Adams GB ,12.0
DeSean Jackson WAS ,10.49
Donte Moncrief IND ,11.33
John Brown ARI ,10.09
Mohamed Sanu ATL ,10.34
Jamison Crowder WAS ,10.12
Allen Hurns JAC ,9.48
Cameron Meredith CHI ,11.07
Cole Beasley DAL ,10.38
Pierre Garcon WAS ,9.88
Robert Woods BUF ,10.12
Michael Floyd ARI ,9.1
Anquan Boldin DET ,10.07
Brandon LaFell CIN ,9.28
Travis Benjamin SD ,9.81
Adam Humphries TB ,8.96
Marqise Lee JAC ,8.94
Justin Hunter BUF ,8.03
Chris Hogan NE ,8.26
Jermaine Kearse SEA ,7.92
Terrance Williams DAL ,7.46
Rishard Matthews TEN ,7.4
Tyler Lockett SEA ,7.82
Adam Thielen MIN ,7.76
Cordarrelle Patterson MIN ,7.61
Phillip Dorsett IND ,6.38
Seth Roberts OAK ,6.99
Kendall Wright TEN ,7.01
J.J. Nelson ARI ,6.36
Nelson Agholor PHI ,7.28
Tajae Sharpe TEN ,7.16
Dorial Green-Beckham PHI ,6.63
Chris Conley KC ,6.23
Ricardo Louis CLE ,6.3
Robby Anderson NYJ ,6.03
Ted Ginn CAR ,5.44
Tyler Boyd CIN ,5.91
Andrew Hawkins CLE ,5.68
Russell Shepard TB ,5.29
Dontrelle Inman SD ,5.15
Danny Amendola NE ,5.42
Devin Funchess CAR ,4.94
