"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","James Winchester",2500,"KC@Ind 01:00PM ET",0.000,"KC"
"TE","Erik Swoope",2500,"KC@Ind 01:00PM ET",1.900,"Ind"
"TE","James O'Shaughnessy",2500,"KC@Ind 01:00PM ET",0.000,"KC"
"TE","Ross Travis",2500,"KC@Ind 01:00PM ET",0.750,"KC"
"TE","Demetrius Harris",2500,"KC@Ind 01:00PM ET",2.283,"KC"
"TE","Brandon Myers",2500,"Oak@TB 01:00PM ET",1.883,"TB"
"TE","Andrew DePaola",2500,"Oak@TB 01:00PM ET",0.000,"TB"
"TE","Luke Stocker",2500,"Oak@TB 01:00PM ET",0.000,"TB"
"TE","Mychal Rivera",2500,"Oak@TB 01:00PM ET",1.500,"Oak"
"TE","Clive Walford",2500,"Oak@TB 01:00PM ET",6.250,"Oak"
"TE","Alan Cross",2500,"Oak@TB 01:00PM ET",0.375,"TB"
"TE","Ryan O'Malley",2500,"Oak@TB 01:00PM ET",0.000,"Oak"
"TE","Luke Willson",2500,"Sea@NO 01:00PM ET",2.200,"Sea"
"TE","Josh Hill",2500,"Sea@NO 01:00PM ET",3.967,"NO"
"TE","Brandon Williams",2500,"Sea@NO 01:00PM ET",0.000,"Sea"
"TE","Nick Vannett",2500,"Sea@NO 01:00PM ET",0.000,"Sea"
"TE","Clay Harbor",2500,"Det@Hou 01:00PM ET",0.817,"Det"
"TE","Ryan Griffin",2500,"Det@Hou 01:00PM ET",5.571,"Hou"
"TE","Stephen Anderson",2500,"Det@Hou 01:00PM ET",2.250,"Hou"
"TE","Cole Wick",2500,"Det@Hou 01:00PM ET",0.633,"Det"
"TE","Khari Lee",2500,"Det@Hou 01:00PM ET",0.000,"Det"
"DST","Lions ",2500,"Det@Hou 01:00PM ET",4.857,"Det"
"TE","Kellen Davis",2500,"NYJ@Cle 01:00PM ET",0.000,"NYJ"
"TE","Brandon Bostick",2500,"NYJ@Cle 01:00PM ET",0.271,"NYJ"
"TE","Randall Telfer",2500,"NYJ@Cle 01:00PM ET",0.000,"Cle"
"TE","Connor Hamlett",2500,"NYJ@Cle 01:00PM ET",2.900,"Cle"
"TE","Austin Seferian-Jenkins",2500,"NYJ@Cle 01:00PM ET",5.700,"NYJ"
"TE","Seth DeValve",2500,"NYJ@Cle 01:00PM ET",0.000,"Cle"
"TE","Danny Vitale",2500,"NYJ@Cle 01:00PM ET",0,"Cle"
"DST","Browns ",2500,"NYJ@Cle 01:00PM ET",4.143,"Cle"
"TE","Jared Cook",2500,"GB@Atl 04:25PM ET",3.767,"GB"
"TE","Justin Perillo",2500,"GB@Atl 04:25PM ET",0.617,"GB"
"TE","Joshua Perkins",2500,"GB@Atl 04:25PM ET",0,"Atl"
"TE","Austin Hooper",2500,"GB@Atl 04:25PM ET",3.914,"Atl"
"DST","Packers ",2500,"GB@Atl 04:25PM ET",6.833,"GB"
"TE","A.J. Derby",2500,"NE@Buf 01:00PM ET",0.000,"NE"
"TE","Manasseh Garner",2500,"NE@Buf 01:00PM ET",0.000,"Buf"
"TE","Nick O'Leary",2500,"NE@Buf 01:00PM ET",2.057,"Buf"
"TE","John Phillips",2500,"SD@Den 04:05PM ET",2.143,"Den"
"TE","Sean McGrath",2500,"SD@Den 04:05PM ET",0.329,"SD"
"TE","Asante Cleveland",2500,"SD@Den 04:05PM ET",0.000,"SD"
"TE","Jeff Heuerman",2500,"SD@Den 04:05PM ET",1.700,"Den"
"TE","Darren Fells",2500,"Ari@Car 01:00PM ET",2.517,"Ari"
"TE","Ed Dickson",2500,"Ari@Car 01:00PM ET",3.050,"Car"
"TE","Jermaine Gresham",2500,"Ari@Car 01:00PM ET",2.200,"Ari"
"TE","Ifeanyi Momah",2500,"Ari@Car 01:00PM ET",1.750,"Ari"
"TE","Chris Manhertz",2500,"Ari@Car 01:00PM ET",0.000,"Car"
"TE","Scott Simonson",2500,"Ari@Car 01:00PM ET",0.000,"Car"
"TE","Hakeem Valles",2500,"Ari@Car 01:00PM ET",0.000,"Ari"
"TE","Brent Celek",2500,"Phi@Dal 08:30PM ET",2.150,"Phi"
"TE","Gavin Escobar",2500,"Phi@Dal 08:30PM ET",0.000,"Dal"
"TE","Trey Burton",2500,"Phi@Dal 08:30PM ET",4.600,"Phi"
"TE","Geoff Swaim",2500,"Phi@Dal 08:30PM ET",1.333,"Dal"
"DST","Falcons ",2400,"GB@Atl 04:25PM ET",6.857,"Atl"
"DST","Chargers ",2400,"SD@Den 04:05PM ET",6.857,"SD"
"DST","Buccaneers ",2300,"Oak@TB 01:00PM ET",6.167,"TB"
"DST","Colts ",2200,"KC@Ind 01:00PM ET",4.143,"Ind"
"DST","Saints ",2000,"Sea@NO 01:00PM ET",2.167,"NO"
